Offense_Type,Category
ILL CARRY FIREARM-UI DRUGS/ALC,Weapons
PRACTICE OF LAW BY NON-ATTORNEYS       M,Person
MISAPPLICATION OF PROPERTY            AM,Property
CRIMINAL CONTEMPT                      M,Order
HINDERING PROSECUTION 3RD DEG         DF,Order
"EVADING RESPONSIBILITY, OTHER THAN MV  M",Person
OPERATING MV W/O INSURANCE            CM,Order
TEMPORARY SURRENDER,Order
CRIM DAMAGE PROPERTY 1ST DEG          DF,Property
"STALKING, 3RD DEGREE                  BM",Person
IMPERSONATION OF POLICE OFFICER       DF,Person
INTERSTATE PAROLE COMPACT,Probation
"SALE, CARRY & BRAND OF FACSIMILE",Property
POSSESS OF LT 4 OZ MJ OR CONTROLD SUB,Drugs
PERMITTING PROSTITUTION               AM,Person
ISSUING A BAD CHECK,Property
FAILURE TO PAY WAGES,Property
CREATING A PUBLIC DISTURBANCE,Person
SIMPLE TRESPASS,Property
DIVERT FR STATE BENE LBR EMPLOYEES    AM,Property
INJURY TO BAGGAGE ON PUBLIC CONVEYANCE M,Property
TAMPERING W/AIRPORT OR AIRWAYS,Property
"PROMOTING PROSTITUTION, THIRD DEGREE  DF",Person
"INJURY TO FENCES, GATES, OTHER PROP    M",Property
ILLEGAL GAIN FROM CREDIT CARD         AM,Property
NOTICES IN SALES AGRREMENT           UM,Property
FALSELY REPORTING AN INCIDENT 2ND     AM,Person
THEFT OF POULTRY                       M,Property
FAILURE TO OBEY STOP SIGN,Order
(REPEALED) 53-173,Order
IL TRAFFIC IN PERSONAL ID INFO        DF,Property
SPEEDING                               M,Person
DRIVING IMPROPERLY ON MULTI-LANE HWY,Person
ABUSE OF PERSONS-2ND DEGREE           DF,Person
OBTAINING DRUGS ILLEGALLY,Drugs
COERCION,Person
COMMIT SEXUAL OFF IN ANOTHER JURIS    DF,Person
ACT OF TERRORISM-ENHANCE SENT,Person
ALLOWING PERSON UNDER 16 TO OPERATE MV M,Person
"FALSE STATEMENT, 2ND DEGREE           AM",Person
INTIMIDATION BASED ON BIGOTRY/BIAS    DF,Person
FORGERY RELATED,Property
HINDER PROSECUTION DEFINED             F,Order
ILL OP MV WO IGNITION DEVICE          CM,Person
UNFAIR OR DECEPTIVE PRAC OR ACT,Person
CRIMINAL MISREPRESENTATION            CF,Person
STARTING OR BACKING VEHICLE,Property
"IMPROPER USE OF MARKER, LICENSE, REG   M",Order
EXTRADITION,Order
CRIM DAMAGE PROPERTY 2ND DEG          AM,Property
PATRONIZING A PROSTITUTE              AM,Person
ENCOURAGING THE COMMISSION OF ABORTION M,Person
